,Latitude,Longitude,Residual
2935,36.999571,-121.574684,47.110886
1069,33.944713,-116.830074,26.906265
1865,34.106678,-117.27406299999998,16.924057
768,34.38344,-118.5284,27.242828
288,36.634225,-120.38233100000001,18.965271
1907,34.030833,-117.61721999999999,24.329819
1017,33.944713,-116.830074,3.77388
806,33.792359999999995,-118.17533,12.298126
811,33.859662,-118.20070700000001,5.7421722
349,36.710833,-119.7775,27.30967
1205,33.996359999999996,-117.4924,20.084312
1496,38.56844,-121.49311000000002,21.569374
363,32.67618,-115.48307,7.819832
1180,33.996359999999996,-117.4924,5.365196
650,34.067029999999995,-117.7514,1.0983887
1704,34.05977,-117.14731,18.986343
2061,33.362593,-117.09023,1.1682281
2229,32.845709,-117.12396399999999,2.1216125
1998,33.362593,-117.09023,16.228867
576,34.19925,-118.53276000000001,12.609615
2007,33.362593,-117.09023,3.190956
426,32.67618,-115.48307,18.005035
1670,35.1019,-115.7767,2.2573814
2644,34.489740000000005,-120.04692,4.044571
2309,33.362593,-117.09023,5.992279
1285,38.613779,-121.36801399999999,10.789303
2661,34.63782,-120.4575,6.614208
2050,33.217055,-117.39617700000001,7.1474533
1543,38.613779,-121.36801399999999,6.2015724
2877,37.079378999999996,-121.600031,1.5411835
2913,37.079378999999996,-121.600031,25.822174
22,36.710833,-119.7775,14.013718
1569,38.613779,-121.36801399999999,1.6417923
